Project	Class Name	Class Author Count	Project Author Count	Revision Count	LOC	CBO	DIT	LCOM	NOC	RFC	WMC	LSR
wikipedia-map-reduce	TShortLongHash	1	5	1	15	2	3	70	1	47	18	0.41
wikipedia-map-reduce	RevisionCountData	1	5	5	20	3	1	0	0	1	1	0.41
wikipedia-map-reduce	PageCategories	1	5	1	22	2	2	0	0	2	2	0.41
wikipedia-map-reduce	TSynchronizedLongDoubleMap	1	5	1	3	9	1	61	0	34	34	0.41
wikipedia-map-reduce	HistogramReduce	1	5	1	62	0	2	0	0	1	1	0.41
wikipedia-map-reduce	TShortByteHashMap	1	5	2	8	13	4	73	0	87	40	0.41
wikipedia-map-reduce	TByteFloatHash	1	5	1	15	2	3	70	1	47	18	0.41
wikipedia-map-reduce	TUnmodifiableRandomAccessFloatList	1	5	1	3	0	3	100	0	68	3	0.41
wikipedia-map-reduce	TSynchronizedShortList	1	5	1	3	3	2	50	1	68	41	0.41
wikipedia-map-reduce	IdentityHashingStrategy	1	5	1	3	0	1	100	0	2	2	0.41
wikipedia-map-reduce	TIntCharMapDecorator	1	5	1	10	1	2	71	0	19	19	0.41
wikipedia-map-reduce	TSynchronizedFloatShortMap	1	5	1	3	9	1	61	0	34	34	0.41
wikipedia-map-reduce	TLongLongHashMap	1	5	2	8	12	4	73	0	87	40	0.41
wikipedia-map-reduce	CommutativeArticleLinkMapReduce	1	5	2	14	3	1	0	0	1	1	0.41
wikipedia-map-reduce	TSynchronizedFloatByteMap	1	5	1	3	9	1	61	0	34	34	0.41
wikipedia-map-reduce	CurrentRevTest	1	5	2	16	2	2	0	0	2	2	0.41
wikipedia-map-reduce	TSynchronizedCharShortMap	1	5	1	3	9	1	61	0	34	34	0.41
wikipedia-map-reduce	TByteShortHashMap	1	5	2	8	13	4	73	0	87	40	0.41
wikipedia-map-reduce	TUnmodifiableLongDoubleMap	1	5	1	1	8	1	82	0	32	32	0.41
wikipedia-map-reduce	FinalCitationCounter	1	5	5	24	2	2	100	0	2	2	0.41
wikipedia-map-reduce	TObjectHashIterator	1	5	2	5	1	2	0	19	9	2	0.41
wikipedia-map-reduce	TUnmodifiableRandomAccessShortList	1	5	1	3	0	3	100	0	68	3	0.41
wikipedia-map-reduce	TObjectIntHashMap	1	5	2	8	13	3	76	0	91	39	0.41
wikipedia-map-reduce	UniqueConcatenateReduce	1	5	2	13	1	2	0	0	1	1	0.41
wikipedia-map-reduce	ToObjectArrayProceedure	1	5	1	3	0	1	25	0	2	2	0.41
wikipedia-map-reduce	Step7FinalResultFilter	1	5	2	16	3	2	83	0	2	2	0.41
wikipedia-map-reduce	TDoubleShortMapDecorator	1	5	1	10	1	2	71	0	19	19	0.41
wikipedia-map-reduce	TFloatByteMapDecorator	1	5	1	10	1	2	71	0	19	19	0.41
wikipedia-map-reduce	TUnmodifiableIntShortMap	1	5	1	1	8	1	82	0	32	32	0.41
wikipedia-map-reduce	TUnmodifiableLongIntMap	1	5	1	1	8	1	82	0	32	32	0.41
wikipedia-map-reduce	RunArticleNameIdMapReduce	1	5	2	4	3	2	80	0	15	5	0.41
wikipedia-map-reduce	TDoubleIntHash	1	5	1	15	2	3	70	1	47	18	0.41
wikipedia-map-reduce	TByteLongMapDecorator	1	5	1	10	1	2	71	0	19	19	0.41
wikipedia-map-reduce	TUnmodifiableCharObjectMap	1	5	1	1	7	1	81	0	28	28	0.41
wikipedia-map-reduce	TObjectIntCustomHashMap	1	5	1	8	14	4	76	0	100	40	0.41
wikipedia-map-reduce	TByteDoubleMapDecorator	1	5	1	10	1	2	71	0	19	19	0.41
wikipedia-map-reduce	ArticleClusterer	1	5	2	63	3	1	0	0	1	1	0.41
wikipedia-map-reduce	TSynchronizedCharList	1	5	1	3	3	2	50	1	68	41	0.41
wikipedia-map-reduce	TUnmodifiableFloatCharMap	1	5	1	1	8	1	82	0	32	32	0.41
wikipedia-map-reduce	TUnmodifiableShortIntMap	1	5	1	1	8	1	82	0	32	32	0.41
wikipedia-map-reduce	LzmaAlone	1	5	1	54	4	1	0	0	2	2	0.41
wikipedia-map-reduce	TCustomHashSet	1	5	1	9	4	4	100	0	81	21	0.41
wikipedia-map-reduce	TDoubleShortHashMap	1	5	2	8	13	4	73	0	87	40	0.41
wikipedia-map-reduce	TUnmodifiableLongList	1	5	1	1	3	2	73	1	65	40	0.41
wikipedia-map-reduce	TSynchronizedRandomAccessIntList	1	5	1	3	0	3	100	0	72	4	0.41
wikipedia-map-reduce	TUnmodifiableRandomAccessIntList	1	5	1	3	0	3	100	0	68	3	0.41
wikipedia-map-reduce	TByteShortMapDecorator	1	5	1	10	1	2	71	0	19	19	0.41
wikipedia-map-reduce	TLongLongMapDecorator	1	5	1	10	1	2	71	0	19	19	0.41
wikipedia-map-reduce	TSynchronizedCharCharMap	1	5	1	3	8	1	61	0	34	34	0.41
wikipedia-map-reduce	RunUserNameIdMapReduce	1	5	2	5	4	2	80	0	15	5	0.41
wikipedia-map-reduce	TSynchronizedByteObjectMap	1	5	1	3	8	1	60	0	30	30	0.41
wikipedia-map-reduce	TSynchronizedLongFloatMap	1	5	1	3	9	1	61	0	34	34	0.41
wikipedia-map-reduce	TLongByteMapDecorator	1	5	1	10	1	2	71	0	19	19	0.41
wikipedia-map-reduce	TShortArrayStack	1	5	1	5	2	1	70	0	19	19	0.41
wikipedia-map-reduce	TSynchronizedDoubleFloatMap	1	5	1	3	9	1	61	0	34	34	0.41
wikipedia-map-reduce	TUnmodifiableLongCharMap	1	5	1	1	8	1	82	0	32	32	0.41
wikipedia-map-reduce	CitationTest	1	5	3	12	7	1	62	0	5	5	0.41
wikipedia-map-reduce	TSynchronizedIntObjectMap	1	5	1	3	8	1	60	0	30	30	0.41
wikipedia-map-reduce	TSynchronizedLongShortMap	1	5	1	3	9	1	61	0	34	34	0.41
wikipedia-map-reduce	TFloatHashSet	1	5	1	10	4	4	100	0	74	31	0.41
wikipedia-map-reduce	FingerprintingParserTest	1	5	1	8	3	1	37	0	4	4	0.41
wikipedia-map-reduce	TUnmodifiableShortCharMap	1	5	1	1	8	1	82	0	32	32	0.41
wikipedia-map-reduce	Assessment	1	5	3	8	5	1	72	0	15	15	0.41
wikipedia-map-reduce	TUnmodifiableDoubleSet	1	5	1	1	0	2	100	0	28	3	0.41
wikipedia-map-reduce	TShortObjectMapDecorator	1	5	1	9	1	2	67	0	17	17	0.41
wikipedia-map-reduce	TByteLinkedList	1	5	1	9	6	1	84	0	75	75	0.41
wikipedia-map-reduce	TIntFloatHashMap	1	5	2	8	13	4	73	0	87	40	0.41
wikipedia-map-reduce	TSynchronizedShortSet	1	5	1	3	0	2	100	0	31	4	0.41
wikipedia-map-reduce	TUnmodifiableCharIntMap	1	5	1	1	8	1	82	0	32	32	0.41
wikipedia-map-reduce	TCharDoubleMapDecorator	1	5	1	10	1	2	71	0	19	19	0.41
wikipedia-map-reduce	DisambiguationsAndRedirects	1	5	6	25	2	2	0	0	2	2	0.41
wikipedia-map-reduce	TObjectShortCustomHashMap	1	5	1	8	14	4	76	0	100	40	0.41
wikipedia-map-reduce	TUnmodifiableCharLongMap	1	5	1	1	8	1	82	0	32	32	0.41
wikipedia-map-reduce	TUnmodifiableDoubleByteMap	1	5	1	1	8	1	82	0	32	32	0.41
wikipedia-map-reduce	TIntSetDecorator	1	5	1	6	1	2	57	0	13	13	0.41
wikipedia-map-reduce	TUnmodifiableCharByteMap	1	5	1	1	8	1	82	0	32	32	0.41
wikipedia-map-reduce	TLongDoubleHash	1	5	1	15	2	3	70	1	47	18	0.41
wikipedia-map-reduce	TCharByteHashMap	1	5	1	8	13	4	73	0	87	40	0.41
wikipedia-map-reduce	TSynchronizedDoubleIntMap	1	5	1	3	9	1	61	0	34	34	0.41
wikipedia-map-reduce	TSynchronizedIntSet	1	5	1	3	0	2	100	0	31	4	0.41
wikipedia-map-reduce	TSynchronizedRandomAccessFloatList	1	5	1	3	0	3	100	0	72	4	0.41
wikipedia-map-reduce	TFloatDoubleMapDecorator	1	5	1	10	1	2	71	0	19	19	0.41
wikipedia-map-reduce	HadoopCategoryComparer	1	5	6	10	2	2	50	0	2	2	0.41
wikipedia-map-reduce	TCharLongHash	1	5	1	15	2	3	70	1	47	18	0.41
wikipedia-map-reduce	TSynchronizedByteSet	1	5	1	3	0	2	100	0	31	4	0.41
wikipedia-map-reduce	TLongFloatHashMap	1	5	2	8	13	4	73	0	87	40	0.41
wikipedia-map-reduce	TLongByteHash	1	5	1	15	2	3	70	1	47	18	0.41
wikipedia-map-reduce	TIntHashSet	1	5	1	10	4	4	100	0	74	31	0.41
wikipedia-map-reduce	TSynchronizedIntCollection	1	5	1	3	2	1	37	2	27	27	0.41
wikipedia-map-reduce	TCharLinkedList	1	5	1	9	6	1	84	0	75	75	0.41
wikipedia-map-reduce	TByteArrayStack	1	5	1	5	2	1	70	0	19	19	0.41
wikipedia-map-reduce	TIntLongHashMap	1	5	2	8	13	4	73	0	87	40	0.41
wikipedia-map-reduce	RandomStep	1	5	1	7	1	1	22	0	3	3	0.41
wikipedia-map-reduce	Vertex	1	5	1	4	2	1	84	2	15	15	0.41
wikipedia-map-reduce	TSynchronizedFloatLongMap	1	5	1	3	9	1	61	0	34	34	0.41
wikipedia-map-reduce	TUnmodifiableShortLongMap	1	5	1	1	8	1	82	0	32	32	0.41
wikipedia-map-reduce	CiteUrlCounter	1	5	1	14	2	2	0	0	2	2	0.41
wikipedia-map-reduce	RevisionLengthHistogram	1	5	1	4	3	1	0	0	1	1	0.41
wikipedia-map-reduce	TFloatDoubleHashMap	1	5	2	8	13	4	73	0	87	40	0.41
wikipedia-map-reduce	TSynchronizedObjectCharMap	1	5	1	3	8	1	60	0	33	33	0.41
wikipedia-map-reduce	PrimeFinder	1	5	1	9	0	1	50	0	1	1	0.41
wikipedia-map-reduce	TSynchronizedDoubleShortMap	1	5	1	3	9	1	61	0	34	34	0.41
wikipedia-map-reduce	EMRExample	1	5	2	19	2	2	0	0	2	2	0.41
